rating,review_count,name,categories0,phone,image_url,id,city,postal_code,address,latitude,longitude,state,categories1,categories2
4.5,495,Bailey's Taproom,beerbar,5032951004,https://s3-media4.fl.yelpcdn.com/bphoto/uej23CydJyEphpf1PNuXIw/ms.jpg,baileys-taproom-portland,Portland,97205,213 SW Broadway,45.522556,-122.678042,OR,,
4,110,The Big Legrowlski,beerbar,5032066481,https://s3-media1.fl.yelpcdn.com/bphoto/LgwWH0oBebXME8I0Kwjr9A/ms.jpg,the-big-legrowlski-portland-6,Portland,97209,812 NW Couch St,45.52367985,-122.6794057,OR,,
4.5,38,Untapped,pubs,5032064830,https://s3-media2.fl.yelpcdn.com/bphoto/9T1tuyqvVcs8nrt0PPiA-g/ms.jpg,untapped-portland,Portland,97217,4320 N Interstate Ave,45.55482969,-122.6820919,OR,,
4.5,188,The Beermongers,pubs,5032346012,https://s3-media2.fl.yelpcdn.com/bphoto/2vH58mhkEl8GdcDug1OwWg/ms.jpg,the-beermongers-portland,Portland,97202,1125 SE Division St,45.505123,-122.654037,OR,breweries,beer_and_wine
4.5,102,The Landmark Saloon,pubs,5038948132,https://s3-media3.fl.yelpcdn.com/bphoto/aioPTsGKU0-9TMe8YaHtxA/ms.jpg,the-landmark-saloon-portland,Portland,97206,4847 SE Division St,45.50551987,-122.6122971,OR,tradamerican,
4,319,Swift Lounge,divebars,5032883333,https://s3-media1.fl.yelpcdn.com/bphoto/WNh4EBPeM8ieeIqJMudnjA/ms.jpg,swift-lounge-portland-2,Portland,97232,1932 NE Broadway,45.53479,-122.6460495,OR,lounges,
4.5,159,The Oregon Public House,pubs,5038280884,https://s3-media4.fl.yelpcdn.com/bphoto/DCBkpB928Wg6ZIpyCWgc1Q/ms.jpg,the-oregon-public-house-portland,Portland,97211,700 NE Dekum St,45.5716732,-122.6581649,OR,newamerican,
4.5,253,Interurban,pubs,5032846669,https://s3-media2.fl.yelpcdn.com/bphoto/IOKN_Ux_XJKM2PWWF9yJVg/ms.jpg,interurban-portland,Portland,97227,4057 N Mississippi St,45.55297207,-122.67563,OR,newamerican,
4,1704,Deschutes Brewery Portland Public House,pubs,5032964906,https://s3-media4.fl.yelpcdn.com/bphoto/ybumkWqqG3T9r68yB1585Q/ms.jpg,deschutes-brewery-portland-public-house-portland,Portland,97209,210 NW 11th Ave,45.52461,-122.68187,OR,newamerican,
4.5,31,The Pocket Pub,pubs,5032873645,https://s3-media4.fl.yelpcdn.com/bphoto/wsC3AcmGuXGSBZmcHX331Q/ms.jpg,the-pocket-pub-portland,Portland,97212,2719 NE 7th Ave,45.54236,-122.65894,OR,pizza,
